"","z_GLG_LDL","z_GLG_TG","z_CARDIOGRAMPLUSC4D_CAD","z_GIANT_BMI","z_GIANT_WHR","Cluster","entropy"
"4",-1.0747202382839,1.32040450591043,1.26200301911528,5.40463637209331,2.77032723335218,3,0.0461298103749881
"5",-1.32793373179659,0.370781878064956,1.07802208589669,7.09995225101469,4.5409549418914,3,0.0138804881061272
"6",0.255420874670468,-2.63270600909476,-2.81507402169906,4.04245942239111,-2.61876101022183,2,0.00809922428129398
"7",11.0613815572185,2.60438240377429,2.77708401099314,0.158960493010094,-0.412463129441405,1,9.02699064422846e-06
"8",-0.335961366394206,-1.13661324654279,-7.44303232056375,2.10986483442795,0.0878448378958716,2,0.000560827229071228
"9",9.65478625014785,15.390879312342,1.08984982907684,1.2634528762037,0.436421188048958,1,5.9726266607875e-08
"10",0.259977476818079,2.920133246824,0.963634706727551,12.8724642985995,5.62275717525986,3,1.72944506650248e-08
"11",-0.0503839475942596,1.53473839057819,-0.2735209374347,7.91526074223602,1.97628995214152,3,0.00577315906691498
"12",0.750090833306277,-0.259564140704241,1.59247507151118,6.44645048468729,3.13818076805393,3,0.0557951982626574
"14",-1.11836127265379,0.295987383245372,1.05652921648907,7.1906122197643,0.469356178793921,3,0.0392827104807001
"15",-28.7881768597957,-1.89625503570495,-8.43613639312814,2.01416826363306,1.91588884570068,1,1.0183987794193e-53
"16",-0.91090749968149,-1.70728953130709,-0.169070231044606,4.77223519264114,-5.83937646662,2,5.27249635191857e-05
"18",0.895528100355943,-2.36674269256466,4.82077719717884,2.16943070429717,-0.915365087842814,2,0.0928150651812588
"19",-0.544350938804454,-0.607981113781922,-5.6796127954591,1.67962654306998,0.974113877059304,2,0.0299505203591207
"20",-0.204324404756091,0.903048791948789,-3.36631377546709,3.89593654262038,-3.61530000692466,2,0.00701289378843006
"21",-2.07469967872077,-3.15959553137375,-1.82657230913608,2.19277957922619,-6.14620357761893,2,0.000184370036666422
"22",-1.06163812264713,0.746773987505587,0.647931741101087,12.399854050876,4.7534243088229,3,2.40620967199227e-07
"26",-2.72372617708216,-3.07162079764576,-1.0025508920124,2.81235625286364,-6.60782777837533,2,5.30207277012219e-05
"27",1.16554118336124,1.33157464885283,6.65463705564363,0.388427090008755,0.0376082876612559,2,0.0063091419360294
"28",0.307976781353118,7.4681016277197,3.23062472360353,1.20242218004534,-1.150349380376,1,0.036467583529603
"29",6.65644652255045,0.578076314104338,2.39858179770678,0.946366862726204,1.09517680510261,1,0.0660237585667025
"30",-1.69468431068771,2.23457997135916,2.93539810338085,15.7593999169791,5.29629919640494,3,9.80243495978962e-13
"32",-23.3103256894562,-8.87586852039871,-1.97356258800903,1.7330845061013,-0.708929944414776,1,1.11663964522393e-24
"33",0.549590902625546,-0.155280738341427,1.97165941177429,10.0544953085072,1.40507156030962,3,0.00387547366576215
"34",-3.68036536996922,-24.5389144310561,0.338562681148893,3.9106974290818,-0.738846849185213,1,2.26933601565583e-19
"36",-14.4540117203142,-2.86100529415628,-4.91496129792544,2.12436062335594,0.722479051928062,1,1.17484378984684e-11
"37",0.442317855186765,2.34268903766888,2.01282160671928,7.77221253494318,4.34130878067393,3,0.00168227860541696
"39",0.452512247659823,-1.24020386284242,-2.1797445805525,0.539270820267422,-5.30937797629918,2,0.00440827761559339
"40",-0.724595859160088,-0.423267641900169,6.02132032029329,3.24318845588389,0.240426031142308,2,0.0126611045956683
"41",-7.37735796527829,-0.638090785596315,-1.71620570178867,0.840814481997097,-1.26234496263447,1,0.0068366247340412
